SOURCE_VALUE,SOURCE_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_ID,MAPPED_STANDARD_CONCEPT_NAME,MAPPED_STANDARD_VOCABULARY_ID,MAPPED_STANDARD_CONCEPT_CODE,MAPPED_STANDARD_CONCEPT_FLAG,TOTAL_ROWS
L1812,44786589.0,44786589.0,"Knee orthosis, elastic with joints, prefabricated, off-the-shelf",HCPCS,L1812,S,1591
L1220,2719552.0,2719552.0,"Addition to tlso, (low profile), anterior thoracic extension",HCPCS,L1220,S,1570
A4590,2614911.0,2614911.0,"Special casting material (e.g., fiberglass)",HCPCS,A4590,S,1553
V2615,2721871.0,2721871.0,"Telescopic and other compound lens system, including distance vision telescopic, near vision telescopes and compound microscopic lens system",HCPCS,V2615,S,1507
L3925,2719893.0,2719893.0,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), non torsion joint/spring, extension/flexion, may include soft interface material, prefabricated, off-the-shelf",HCPCS,L3925,S,1503
L8440,2720424.0,2720424.0,"Prosthetic shrinker, below knee, each",HCPCS,L8440,S,1439
L5637,2720035.0,2720035.0,"Addition to lower extremity, below knee, total contact",HCPCS,L5637,S,1390
L5940,2720140.0,2720140.0,"Addition, endoskeletal system, below knee, ultra-light material (titanium, carbon fiber or equal)",HCPCS,L5940,S,1377
L5629,2720029.0,2720029.0,"Addition to lower extremity, below knee, acrylic socket",HCPCS,L5629,S,1359
L5620,2720024.0,2720024.0,"Addition to lower extremity, test socket, below knee",HCPCS,L5620,S,1359
L5910,2720136.0,2720136.0,"Addition, endoskeletal system, below knee, alignable system",HCPCS,L5910,S,1296
A4344,2614772.0,2614772.0,"Indwelling catheter, foley type, two-way, all silicone or polyurethane, each",HCPCS,A4344,S,1203
L3020,2719742.0,2719742.0,"Foot, insert, removable, molded to patient model, longitudinal/ metatarsal support, each",HCPCS,L3020,S,1188
L1970,2719622.0,2719622.0,"Ankle foot orthosis, plastic with ankle joint, custom fabricated",HCPCS,L1970,S,1124
A4466,40661480.0,1314285.0,"Belt, strap, sleeve, garment, or covering, any type",HCPCS,A4467,S,1064
L1820,2719587.0,2719587.0,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, includes fitting and adjustment",HCPCS,L1820,S,1062
L3760,2719846.0,2719846.0,"Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",HCPCS,L3760,S,1050
A5512,2615083.0,2615083.0,"For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of shore a 35 duromete...",HCPCS,A5512,S,1049
A9505,2615327.0,2615327.0,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",HCPCS,A9505,S,1042
A9586,43533268.0,43533268.0,"Florbetapir f18, diagnostic, per study dose, up to 10 millicuries",HCPCS,A9586,S,1035
A4565,2614906.0,2614906.0,Slings,HCPCS,A4565,S,993
A4562,2614905.0,2614905.0,"Pessary, reusable, non rubber, any type",HCPCS,A4562,S,993
L3031,2719744.0,2719744.0,"Foot, insert/plate, removable, addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, each",HCPCS,L3031,S,939
L8509,2720436.0,2720436.0,"Tracheo-esophageal voice prosthesis, inserted by a licensed health care provider, any type",HCPCS,L8509,S,915
A9581,40662243.0,40662243.0,"Injection, gadoxetate disodium, 1 ml",HCPCS,A9581,S,914
A4467,1314285.0,1314285.0,"Belt, strap, sleeve, garment, or covering, any type",HCPCS,A4467,S,883
E0114,2616482.0,2616482.0,"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips",HCPCS,E0114,S,873
RP,,4151913.0,Diagnostic imaging equipment,SNOMED,314789007,S,830
A8000,2615295.0,2615295.0,"Helmet, protective, soft, prefabricated, includes all components and accessories",HCPCS,A8000,S,828
L3984,2719936.0,2719936.0,"Upper extremity fracture orthosis, wrist, prefabricated, includes fitting and adjustment",HCPCS,L3984,S,818
A5513,2615084.0,2615084.0,"For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other sha...",HCPCS,A5513,S,804
L1960,2719621.0,2719621.0,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated",HCPCS,L1960,S,788
L5301,2719988.0,2719988.0,"Below knee, molded socket, shin, sach foot, endoskeletal system",HCPCS,L5301,S,788
L5999,2720168.0,2720168.0,"Lower extremity prosthesis, not otherwise specified",HCPCS,L5999,S,785
L4205,2719957.0,2719957.0,"Repair of orthotic device, labor component, per 15 minutes",HCPCS,L4205,S,734
L3485,2719811.0,2719811.0,"Heel, pad, removable for spur",HCPCS,L3485,S,729
V5264,2721964.0,2721964.0,"Ear mold/insert, not disposable, any type",HCPCS,V5264,S,716
L8430,2720422.0,2720422.0,"Prosthetic sock, multiple ply, above knee, each",HCPCS,L8430,S,711
L8460,2720425.0,2720425.0,"Prosthetic shrinker, above knee, each",HCPCS,L8460,S,711
L3050,2719746.0,2719746.0,"Foot, arch support, removable, premolded, metatarsal, each",HCPCS,L3050,S,710
V5260,2721960.0,2721960.0,"Hearing aid, digital, binaural, ite",HCPCS,V5260,S,710
A4570,2614907.0,4042424.0,Splint,SNOMED,16650009,S,686
L3350,2719795.0,2719795.0,Heel wedge,HCPCS,L3350,S,677
L8681,2720470.0,2720470.0,"Patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only",HCPCS,L8681,S,661
L3924,2719892.0,2719892.0,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated, off-the-shelf",HCPCS,L3924,S,655
L0810,2719510.0,2719510.0,"Halo procedure, cervical halo incorporated into jacket vest",HCPCS,L0810,S,654
L3809,44786593.0,44786593.0,"Wrist hand finger orthosis, without joint(s), prefabricated, off-the-shelf, any type",HCPCS,L3809,S,648
L5986,2720160.0,2720160.0,"All lower extremity prostheses, multi-axial rotation unit ('mcp' or equal)",HCPCS,L5986,S,635
A7520,2615286.0,2615286.0,"Tracheostomy/laryngectomy tube, non-cuffed, polyvinylchloride (pvc), silicone or equal, each",HCPCS,A7520,S,625
A9595,800998.0,800998.0,"Piflufolastat f-18, diagnostic, 1 millicurie",HCPCS,A9595,S,607
L8480,2720428.0,2720428.0,"Prosthetic sock, single ply, fitting, above knee, each",HCPCS,L8480,S,590
L3670,2719833.0,2719833.0,"Shoulder orthosis, acromio/clavicular (canvas and webbing type), prefabricated, off-the-shelf",HCPCS,L3670,S,586
L5700,2720091.0,2720091.0,"Replacement, socket, below knee, molded to patient model",HCPCS,L5700,S,585
A9283,2615319.0,2615319.0,"Foot pressure off loading/supportive device, any type, each",HCPCS,A9283,S,558
L5650,2720047.0,2720047.0,"Additions to lower extremity, total contact, above knee or knee disarticulation socket",HCPCS,L5650,S,545
L5651,2720048.0,2720048.0,"Addition to lower extremity, above knee, flexible inner socket, external frame",HCPCS,L5651,S,540
L1686,2719576.0,2719576.0,"Hip orthosis, abduction control of hip joint, postoperative hip abduction type, prefabricated, includes fitting and adjustment",HCPCS,L1686,S,535
L5624,2720026.0,2720026.0,"Addition to lower extremity, test socket, above knee",HCPCS,L5624,S,533
L5631,2720031.0,2720031.0,"Addition to lower extremity, above knee or knee disarticulation, acrylic socket",HCPCS,L5631,S,533
L5950,2720141.0,2720141.0,"Addition, endoskeletal system, above knee, ultra-light material (titanium, carbon fiber or equal)",HCPCS,L5950,S,533
L5649,2720046.0,2720046.0,"Addition to lower extremity, ischial containment/narrow m-l socket",HCPCS,L5649,S,531
A9800,710134.0,710134.0,"Gallium ga-68 gozetotide, diagnostic, (locametz), 1 millicurie",HCPCS,A9800,S,511
L5920,2720137.0,2720137.0,"Addition, endoskeletal system, above knee or hip disarticulation, alignable system",HCPCS,L5920,S,499
L3310,2719789.0,2719789.0,"Lift, elevation, heel and sole, neoprene, per inch",HCPCS,L3310,S,496
L3999,2719940.0,2719940.0,"Upper limb orthosis, not otherwise specified",HCPCS,L3999,S,486
A6025,2615094.0,2615094.0,"Gel sheet for dermal or epidermal application, (e.g., silicone, hydrogel, other), each",HCPCS,A6025,S,481
L3100,2719751.0,2719751.0,"Hallus-valgus night dynamic splint, prefabricated, off-the-shelf",HCPCS,L3100,S,474
L3906,2719874.0,2719874.0,"Wrist hand orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",HCPCS,L3906,S,472
A9588,1314291.0,1314291.0,"Fluciclovine f-18, diagnostic, 1 millicurie",HCPCS,A9588,S,460
A6549,2615230.0,2615230.0,"Gradient compression garment, not otherwise specified",HCPCS,A6549,S,460
L1830,2719589.0,2719589.0,"Knee orthosis, immobilizer, canvas longitudinal, prefabricated, off-the-shelf",HCPCS,L1830,S,460
V2600,2721869.0,2721869.0,Hand held low vision aids and other nonspectacle mounted aids,HCPCS,V2600,S,455
L2820,2719731.0,2719731.0,"Addition to lower extremity orthosis, soft interface for molded plastic, below knee section",HCPCS,L2820,S,442
L5450,2720001.0,2720001.0,"Immediate post surgical or early fitting, application of non-weight bearing rigid dressing, below knee",HCPCS,L5450,S,425
L3649,2719828.0,2719828.0,"Orthopedic shoe, modification, addition or transfer, not otherwise specified",HCPCS,L3649,S,405
14106009,4030875.0,4030875.0,Cardiac pacemaker,SNOMED,14106009,S,398
L0120,2719419.0,2719419.0,"Cervical, flexible, non-adjustable, prefabricated, off-the-shelf (foam collar)",HCPCS,L0120,S,397
A7521,2615287.0,2615287.0,"Tracheostomy/laryngectomy tube, cuffed, polyvinylchloride (pvc), silicone or equal, each",HCPCS,A7521,S,396
L0462,2719458.0,2719458.0,"Tlso, triplanar control, modular segmented spinal system, three rigid plastic shells, posterior extends from the sacrococcygeal junction and terminates just inferior to the scapular spine, anterior extends from the symphysis pubis to the sternal notch,...",HCPCS,L0462,S,389
L3806,2719854.0,2719854.0,"Wrist hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, custom fabricated, includes fitting and adjustment",HCPCS,L3806,S,385
L2275,2719674.0,2719674.0,"Addition to lower extremity, varus/valgus correction, plastic modification, padded/lined",HCPCS,L2275,S,377
E0190,2616532.0,2616532.0,"Positioning cushion/pillow/wedge, any shape or size, includes all components and accessories",HCPCS,E0190,S,359
L4397,44786596.0,44786596.0,"Static or dynamic ankle foot orthosis, including soft interface material, adjustable for fit, for positioning, may be used for minimal ambulation, prefabricated, off-the-shelf",HCPCS,L4397,S,353
L1845,2719597.0,2719597.0,"Knee orthosis, double upright, thigh and calf, with adjustable flexion and extension joint (unicentric or polycentric), medial-lateral and rotation control, with or without varus/valgus adjustment, prefabricated item that has been trimmed, bent, molded...",HCPCS,L1845,S,352
A6453,2615196.0,2615196.0,"Self-adherent bandage, elastic, non-knitted/non-woven, width less than three inches, per yard",HCPCS,A6453,S,348
L1833,44786590.0,44786590.0,"Knee orthosis, adjustable knee joints (unicentric or polycentric), positional orthosis, rigid support, prefabricated, off-the shelf",HCPCS,L1833,S,343
L0639,2719506.0,2719506.0,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, anterior extends from symphysis pubis to xyphoid, produces intracavitary pressure to reduce load on the intervert...",HCPCS,L0639,S,342
A9999,2615407.0,2615407.0,"Miscellaneous dme supply or accessory, not otherwise specified",HCPCS,A9999,S,330
Q9963,2720866.0,2720866.0,"High osmolar contrast material, 350-399 mg/ml iodine concentration, per ml",HCPCS,Q9963,S,329
L5321,2719992.0,2719992.0,"Above knee, molded socket, open end, sach foot, endoskeletal system, single axis knee",HCPCS,L5321,S,328
Q9958,2720861.0,2720861.0,"High osmolar contrast material, up to 149 mg/ml iodine concentration, per ml",HCPCS,Q9958,S,327
L5679,2720074.0,2720074.0,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, not for use with locking mechanism",HCPCS,L5679,S,323
L5972,2720149.0,2720149.0,"All lower extremity prostheses, foot, flexible keel",HCPCS,L5972,S,318
V5257,2721957.0,2721957.0,"Hearing aid, digital, monaural, bte",HCPCS,V5257,S,310
L5000,2719971.0,2719971.0,"Partial foot, shoe insert with longitudinal arch, toe filler",HCPCS,L5000,S,300
A6207,2615107.0,2615107.0,"Contact layer, sterile, more than 16 sq. in. but less than or equal to 48 sq. in., each dressing",HCPCS,A6207,S,295
L3912,2719880.0,2719880.0,"Hand finger orthosis (hfo), flexion glove with elastic finger control, prefabricated, off-the-shelf",HCPCS,L3912,S,295
L0625,2719492.0,2719492.0,"Lumbar orthosis, flexible, provides lumbar support, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include pendulous abdomen design, shoulder...",HCPCS,L0625,S,295
A9512,2615333.0,2615333.0,"Technetium tc-99m pertechnetate, diagnostic, per millicurie",HCPCS,A9512,S,291
L2210,2719665.0,2719665.0,"Addition to lower extremity, dorsiflexion assist (plantar flexion resist), each joint",HCPCS,L2210,S,288
L3980,2719934.0,2719934.0,"Upper extremity fracture orthosis, humeral, prefabricated, includes fitting and adjustment",HCPCS,L3980,S,288
L5981,2720156.0,2720156.0,"All lower extremity prostheses, flex-walk system or equal",HCPCS,L5981,S,284
L1940,2719617.0,2719617.0,"Ankle foot orthosis, plastic or other material, custom fabricated",HCPCS,L1940,S,276
L3702,2719841.0,2719841.0,"Elbow orthosis, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",HCPCS,L3702,S,267
V5267,2721967.0,2721967.0,"Hearing aid or assistive listening device/supplies/accessories, not otherwise specified",HCPCS,V5267,S,266
L3927,2719895.0,2719895.0,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), without joint/spring, extension/flexion (e.g., static or ring type), may include soft interface material, prefabricated, off-the-shelf",HCPCS,L3927,S,263
S8424,2721396.0,2721396.0,"Gradient pressure aid (sleeve), ready made",HCPCS,S8424,S,261
A4580,2614910.0,2614910.0,"Cast supplies (e.g., plaster)",HCPCS,A4580,S,259
V2520,2721862.0,2721862.0,"Contact lens, hydrophilic, spherical, per lens",HCPCS,V2520,S,256
E0486,2616648.0,2616648.0,"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, custom fabricated, includes fitting and adjustment",HCPCS,E0486,S,252
L3060,2719747.0,2719747.0,"Foot, arch support, removable, premolded, longitudinal/ metatarsal, each",HCPCS,L3060,S,251
L3265,2719787.0,2719787.0,"Plastazote sandal, each",HCPCS,L3265,S,251
A9560,2615381.0,2615381.0,"Technetium tc-99m labeled red blood cells, diagnostic, per study dose, up to 30 millicuries",HCPCS,A9560,S,250
L0627,2719494.0,2719494.0,"Lumbar orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, s...",HCPCS,L0627,S,247
A6531,2615215.0,2615215.0,"Gradient compression stocking, below knee, 30-40 mmhg, used as a surgical dressing, each",HCPCS,A6531,S,241
L5962,2720143.0,2720143.0,"Addition, endoskeletal system, below knee, flexible protective outer surface covering system",HCPCS,L5962,S,241
E0100,2616476.0,2616476.0,"Cane, includes canes of all materials, adjustable or fixed, with tip",HCPCS,E0100,S,239
L2330,2719679.0,2719679.0,"Addition to lower extremity, lacer molded to patient model, for custom fabricated orthosis only",HCPCS,L2330,S,235
A4648,2614958.0,2614958.0,"Tissue marker, implantable, any type, each",HCPCS,A4648,S,227
L3763,2719848.0,2719848.0,"Elbow wrist hand orthosis, rigid, without joints, may include soft interface, straps, custom fabricated, includes fitting and adjustment",HCPCS,L3763,S,222
L5850,2720131.0,2720131.0,"Addition, endoskeletal system, above knee or hip disarticulation, knee extension assist",HCPCS,L5850,S,214
L3332,2719792.0,2719792.0,"Lift, elevation, inside shoe, tapered, up to one-half inch",HCPCS,L3332,S,213
L3510,2719813.0,2719813.0,"Orthopedic shoe addition, insole, rubber",HCPCS,L3510,S,209
L5645,2720042.0,2720042.0,"Addition to lower extremity, below knee, flexible inner socket, external frame",HCPCS,L5645,S,205
E0705,2616720.0,2616720.0,"Transfer device, any type, each",HCPCS,E0705,S,204
L5701,2720092.0,2720092.0,"Replacement, socket, above knee/knee disarticulation, including attachment plate, molded to patient model",HCPCS,L5701,S,203
L5685,2720080.0,2720080.0,"Addition to lower extremity prosthesis, below knee, suspension/sealing sleeve, with or without valve, any material, each",HCPCS,L5685,S,202
L5987,2720161.0,2720161.0,"All lower extremity prosthesis, shank foot system with vertical loading pylon",HCPCS,L5987,S,202
L3170,2719755.0,2719755.0,"Foot, plastic, silicone or equal, heel stabilizer, prefabricated, off-the-shelf, each",HCPCS,L3170,S,201
L5704,2720095.0,2720095.0,"Custom shaped protective cover, below knee",HCPCS,L5704,S,200
L1990,2719625.0,2719625.0,"Ankle foot orthosis, double upright free plantar dorsiflexion, solid stirrup, calf band/cuff (double bar 'bk' orthosis), custom fabricated",HCPCS,L1990,S,200
L0621,2719488.0,2719488.0,"Sacroiliac orthosis, flexible, provides pelvic-sacral support, reduces motion about the sacroiliac joint, includes straps, closures, may include pendulous abdomen design, prefabricated, off-the-shelf",HCPCS,L0621,S,199
L2220,2719666.0,2719666.0,"Addition to lower extremity, dorsiflexion and plantar flexion assist/resist, each joint",HCPCS,L2220,S,199
396342001,4262611.0,37312070.0,Stereotactic radiosurgical gamma radiation system,SNOMED,788733008,S,195
B4087,2615440.0,2615440.0,"Gastrostomy/jejunostomy tube, standard, any material, any type, each",HCPCS,B4087,S,192
L8010,2720381.0,2720381.0,"Breast prosthesis, mastectomy sleeve",HCPCS,L8010,S,191
A4614,2614924.0,2614924.0,"Peak expiratory flow rate meter, hand held",HCPCS,A4614,S,184
L5845,2720127.0,2720127.0,"Addition, endoskeletal, knee-shin system, stance flexion feature, adjustable",HCPCS,L5845,S,174
L8015,2720382.0,2720382.0,"External breast prosthesis garment, with mastectomy form, post mastectomy",HCPCS,L8015,S,172
A4561,2614904.0,2614904.0,"Pessary, reusable, rubber, any type",HCPCS,A4561,S,167
L3982,2719935.0,2719935.0,"Upper extremity fracture orthosis, radius/ulnar, prefabricated, includes fitting and adjustment",HCPCS,L3982,S,164
A6402,2615163.0,2615163.0,"Gauze, non-impregnated, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",HCPCS,A6402,S,163
A9592,801001.0,801001.0,"Copper cu-64, dotatate, diagnostic, 1 millicurie",HCPCS,A9592,S,162
A6210,2615110.0,2615110.0,"Foam dressing, wound cover, sterile, pad size more than 16 sq. in. but less than or equal to 48 sq. in., without adhesive border, each dressing",HCPCS,A6210,S,160
257354000,4107114.0,4107114.0,Ventriculoperitoneal shunt,SNOMED,257354000,S,157
